LotFrontage,LotArea,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,CentralAir,GrLivArea,PoolArea,YrSold,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Heating_GasA,Heating_GasW,Heating_Grav,Heating_Wall,total_square_ft,built_minus_sold
60.0,16669,7,6,2,0,6,1977,910,2,1,792,0,2006,0,0,0,0,1,1,0,0,0,1702,3983
69.37905085568637,12704,5,7,1,0,11,1964,1694,1,0,1721,0,2006,1,0,0,0,0,1,0,0,0,3415,3970
70.0,9000,9,6,1,0,5,1976,1372,4,1,1314,0,2006,1,0,0,0,0,1,0,0,0,2686,3982
72.0,10083,6,5,2,1,5,2008,612,2,1,1382,0,2009,1,0,0,0,0,1,0,0,0,1994,4017
75.0,7642,7,6,2,0,5,2006,1792,3,1,2240,0,2008,1,0,0,0,0,1,0,0,0,4032,4014
41.0,12376,6,6,1,0,8,1940,1362,2,1,960,0,2008,0,0,1,0,0,1,0,0,0,2322,3948
57.0,10000,8,6,1,1,5,2000,1150,3,1,1766,0,2006,0,0,0,0,1,1,0,0,0,2916,4006
69.37905085568637,7861,7,7,2,0,5,1995,612,2,1,2046,0,2006,1,0,0,0,0,1,0,0,0,2658,4001
82.0,1680,4,5,2,0,6,2005,848,3,1,2554,0,2008,1,0,0,0,0,1,0,0,0,3402,4013
35.0,7875,5,6,1,0,5,1949,982,3,1,1294,0,2007,1,0,0,0,0,1,0,0,0,2276,3956
69.37905085568637,8544,7,5,1,0,4,2002,1040,3,1,1689,0,2009,1,0,0,0,0,1,0,0,0,2729,4011
78.0,6768,5,8,1,0,6,1981,1237,2,1,1097,0,2006,1,0,0,0,0,1,0,0,0,2334,3987
116.0,6762,4,5,2,0,7,2006,702,2,1,630,0,2006,1,0,0,0,0,1,0,0,0,1332,4012
75.0,16659,6,4,1,0,9,1924,969,3,1,835,0,2008,1,0,0,0,0,1,0,0,0,1804,3932
53.0,6960,6,9,1,0,8,1977,798,4,1,1040,0,2009,1,0,0,0,0,1,0,0,0,1838,3986
69.37905085568637,9938,7,7,1,1,5,1910,1094,3,1,1720,0,2010,1,0,0,0,0,1,0,0,0,2814,3920
82.0,8777,7,6,1,0,6,1966,1073,3,1,800,0,2006,0,0,0,0,1,1,0,0,0,1873,3972
60.0,8544,7,5,1,0,6,2000,864,4,1,1829,0,2006,1,0,0,0,0,1,0,0,0,2693,4006
60.0,8125,4,5,1,0,5,1945,816,5,1,1950,0,2006,1,0,0,0,0,1,0,0,0,2766,3951
65.0,7050,5,8,2,1,4,2007,1143,3,1,1310,0,2006,1,0,0,0,0,1,0,0,0,2453,4013
60.0,10437,8,5,1,0,8,1970,1734,3,1,1756,0,2006,1,0,0,0,0,1,0,0,0,3490,3976
80.0,7658,5,7,2,0,7,2007,702,3,1,1144,0,2006,1,0,0,0,0,1,0,0,0,1846,4013
69.37905085568637,11844,8,4,1,1,8,1961,649,2,1,1375,512,2008,1,0,0,0,0,1,0,0,0,2024,3969
78.0,7472,8,7,1,0,5,2001,1440,4,1,773,0,2009,1,0,0,0,0,1,0,0,0,2213,4010
70.0,8400,8,5,2,0,8,2000,1064,2,1,1148,0,2009,1,0,0,0,0,0,1,0,0,2212,4009
52.0,6563,6,6,1,1,7,1955,1134,2,1,1692,0,2008,1,0,0,0,0,1,0,0,0,2826,3963
77.0,9250,5,5,2,1,5,2005,1148,3,0,1382,0,2010,1,0,0,0,0,1,0,0,0,2530,4015
83.0,10400,7,5,2,0,6,1961,912,4,1,520,0,2006,1,0,0,0,0,1,0,0,0,1432,3967
108.0,9612,9,5,2,1,9,2002,1436,3,1,1766,0,2006,1,0,0,0,0,1,0,0,0,3202,4008
75.0,9098,5,6,2,0,7,1972,1416,2,1,1144,0,2009,1,0,0,0,0,1,0,0,0,2560,3981
51.0,9042,6,5,2,0,7,1930,1056,4,1,1639,0,2006,1,0,0,0,0,1,0,0,0,2695,3936
69.37905085568637,9020,7,6,1,0,10,1961,3200,4,1,2646,0,2007,1,0,0,0,0,1,0,0,0,5846,3968
114.0,13006,5,4,1,0,7,2000,777,3,1,1786,0,2006,1,0,0,0,0,1,0,0,0,2563,4006
56.0,11670,7,5,3,1,6,2007,1113,3,1,1369,0,2010,1,0,0,0,0,1,0,0,0,2482,4017
79.0,7244,6,6,1,1,5,1997,1128,2,1,2466,0,2006,1,0,0,0,0,1,0,0,0,3594,4003
81.0,9765,7,4,2,0,7,1953,672,2,1,1291,0,2009,0,0,0,0,1,1,0,0,0,1963,3962
70.0,10570,5,7,1,0,6,2003,1144,3,1,1501,0,2006,1,0,0,0,0,1,0,0,0,2645,4009
69.37905085568637,9100,6,5,2,1,5,2004,520,4,1,2090,0,2008,1,0,0,0,0,1,0,0,0,2610,4012
82.0,10005,3,9,3,0,6,2003,912,3,1,825,0,2009,1,0,0,0,0,1,0,0,0,1737,4012
75.0,1526,6,5,2,0,4,1965,0,4,1,1306,0,2008,1,0,0,0,0,1,0,0,0,1306,3973
69.37905085568637,7930,5,5,2,0,5,2007,910,3,1,1802,0,2007,1,0,0,0,0,1,0,0,0,2712,4014
60.0,9750,4,5,1,0,4,1925,1144,3,1,2775,0,2007,1,0,0,0,0,1,0,0,0,3919,3932
75.0,46589,4,5,1,1,7,1922,729,3,1,1680,0,2007,1,0,0,0,0,1,0,0,0,2409,3929
50.0,5000,5,6,1,1,6,1925,1008,3,1,1446,0,2009,1,0,0,0,0,1,0,0,0,2454,3934
62.0,10500,8,3,1,0,7,1956,783,3,1,1800,0,2009,1,0,0,0,0,1,0,0,0,2583,3965
21.0,12099,7,5,2,1,6,1931,384,2,1,1440,0,2010,1,0,0,0,0,1,0,0,0,1824,3941
50.0,12257,9,5,1,1,12,1971,702,3,1,2158,0,2006,1,0,0,0,0,1,0,0,0,2860,3977
60.0,9790,8,5,2,1,3,1966,1092,4,0,1121,0,2010,1,0,0,0,0,1,0,0,0,2213,3976
51.0,1890,5,7,1,1,7,1918,1181,2,1,2612,0,2008,1,0,0,0,0,1,0,0,0,3793,3926
59.0,12003,6,7,1,1,7,1930,3094,3,1,1077,0,2006,1,0,0,0,0,1,0,0,0,4171,3936
21.0,14587,9,5,1,0,7,1929,1686,3,1,2144,0,2008,0,1,0,0,0,1,0,0,0,3830,3937
69.37905085568637,9020,5,5,2,0,6,2008,105,3,1,1048,0,2006,1,0,0,0,0,1,0,0,0,1153,4014
78.0,14200,7,5,1,1,6,1992,849,2,1,1800,0,2009,0,0,0,0,1,1,0,0,0,2649,4001
107.0,5119,7,5,2,0,6,1954,1266,2,1,1212,0,2009,1,0,0,0,0,1,0,0,0,2478,3963
62.0,10200,4,5,1,0,8,1998,811,2,1,2034,0,2009,0,1,0,0,0,1,0,0,0,2845,4007
80.0,6762,7,5,1,0,8,1972,384,2,1,1080,0,2007,1,0,0,0,0,1,0,0,0,1464,3979
35.0,10386,6,5,2,0,7,1936,1686,4,1,1949,0,2009,1,0,0,0,0,1,0,0,0,3635,3945
70.0,8366,7,5,1,0,5,1953,1869,2,1,1470,0,2010,1,0,0,0,0,1,0,0,0,3339,3963
60.0,10927,5,5,1,0,7,1974,1436,3,1,1928,0,2009,1,0,0,0,0,1,0,0,0,3364,3983
69.37905085568637,15660,7,3,0,0,9,1972,1253,2,1,1252,0,2008,1,0,0,0,0,1,0,0,0,2505,3980
50.0,1680,9,5,2,0,4,2005,1008,4,1,1262,0,2006,1,0,0,0,0,1,0,0,0,2270,4011
97.0,8500,5,6,1,0,7,1957,856,2,1,1563,0,2010,1,0,0,0,0,1,0,0,0,2419,3967
92.0,12155,5,8,2,1,6,1923,996,2,1,1652,0,2009,1,0,0,0,0,1,0,0,0,2648,3932
88.0,7259,7,5,1,1,7,2004,1003,4,1,1317,0,2010,1,0,0,0,0,1,0,0,0,2320,4014
60.0,11500,5,5,2,0,7,2003,728,3,1,1375,0,2007,0,0,0,0,1,1,0,0,0,2103,4010
65.0,9100,6,5,1,0,7,1940,561,1,1,1040,0,2006,1,0,0,0,0,1,0,0,0,1601,3946
21.0,4058,7,5,2,1,7,2000,926,3,1,960,0,2009,1,0,0,0,0,1,0,0,0,1886,4009
60.0,18450,6,7,1,0,7,2005,773,3,1,1301,0,2010,1,0,0,0,0,1,0,0,0,2074,4015
53.0,9600,6,6,2,0,7,1961,1833,1,1,858,0,2008,0,0,0,1,0,1,0,0,0,2691,3969
51.0,9180,6,7,2,1,7,2005,1385,3,1,767,0,2009,1,0,0,0,0,1,0,0,0,2152,4014
141.0,17600,6,5,2,1,8,1946,689,3,1,3112,0,2007,0,0,0,0,1,1,0,0,0,3801,3953
105.0,12456,6,5,2,0,6,1997,2444,3,1,1003,0,2006,1,0,0,0,0,1,0,0,0,3447,4003
69.37905085568637,7200,7,5,2,0,10,1990,660,3,1,1113,0,2007,1,0,0,0,0,1,0,0,0,1773,3997
96.0,12205,6,6,2,0,4,1925,979,3,1,1208,0,2010,1,0,0,0,0,1,0,0,0,2187,3935
50.0,6000,4,6,1,1,8,2005,540,4,1,1632,0,2007,1,0,0,0,0,1,0,0,0,2172,4012
100.0,7800,6,5,3,0,10,2004,2109,3,1,1920,0,2007,0,0,0,0,1,1,0,0,0,4029,4011
78.0,3604,7,6,2,1,5,1970,1566,2,1,1159,0,2009,1,0,0,0,0,1,0,0,0,2725,3979
60.0,7200,8,5,1,0,6,1963,715,4,1,1269,0,2008,1,0,0,0,0,1,0,0,0,1984,3971
69.37905085568637,8536,6,7,2,0,10,2005,1470,2,1,2730,0,2008,1,0,0,0,0,1,0,0,0,4200,4013
59.0,2572,8,5,2,0,6,2007,744,4,1,1560,0,2010,1,0,0,0,0,1,0,0,0,2304,4017
91.0,21535,5,5,2,0,8,1976,483,4,1,1215,0,2006,1,0,0,0,0,1,0,0,0,1698,3982
69.37905085568637,8765,7,5,2,0,7,1958,1517,3,0,1473,0,2006,1,0,0,0,0,1,0,0,0,2990,3964
75.0,11782,6,5,2,1,10,2002,1276,2,1,2192,0,2006,1,0,0,0,0,1,0,0,0,3468,4008
71.0,2289,6,7,1,0,8,1976,1670,2,1,1577,0,2007,1,0,0,0,0,1,0,0,0,3247,3983
69.37905085568637,15611,5,5,2,1,6,1990,1204,2,0,1217,0,2010,0,0,0,0,1,1,0,0,0,2421,4000
48.0,9450,5,8,1,0,9,1946,1050,2,1,2531,0,2008,1,0,0,0,0,1,0,0,0,3581,3954
69.37905085568637,11426,6,5,2,1,7,1954,1125,4,1,1547,0,2007,1,0,0,0,0,1,0,0,0,2672,3961
60.0,7851,5,5,2,0,6,2003,1561,2,1,1961,0,2007,1,0,0,0,0,1,0,0,0,3522,4010
65.0,8000,5,5,1,1,8,1954,1161,3,1,848,0,2008,1,0,0,0,0,1,0,0,0,2009,3962
69.37905085568637,4274,5,5,1,0,4,1975,1116,4,1,840,0,2009,1,0,0,0,0,1,0,0,0,1956,3984
106.0,10628,5,5,1,0,6,1964,1138,2,0,1317,0,2009,1,0,0,0,0,1,0,0,0,2455,3973
70.0,9855,8,5,1,1,7,1998,1379,2,1,1362,0,2009,0,0,0,0,1,1,0,0,0,2741,4007
60.0,7500,7,5,1,0,7,2007,1391,2,0,1616,0,2007,1,0,0,0,0,1,0,0,0,3007,4014
24.0,7000,5,8,1,0,5,2005,702,3,1,1445,0,2009,1,0,0,0,0,1,0,0,0,2147,4014
69.37905085568637,8281,4,8,1,1,5,1972,1100,3,1,1328,0,2008,0,1,0,0,0,1,0,0,0,2428,3980
60.0,12800,4,5,2,1,5,2007,725,2,1,2172,0,2009,1,0,0,0,0,1,0,0,0,2897,4016
79.0,9945,8,6,2,1,7,2005,864,4,1,2576,0,2009,1,0,0,0,0,1,0,0,0,3440,4014
60.0,16635,5,5,1,0,8,1981,849,3,1,816,0,2009,0,0,1,0,0,1,0,0,0,1665,3990
122.0,14762,5,7,1,1,8,1970,943,3,1,1477,0,2008,1,0,0,0,0,1,0,0,0,2420,3978
141.0,10667,5,6,1,1,5,1960,953,2,1,1458,0,2008,1,0,0,0,0,1,0,0,0,2411,3968
69.37905085568637,10200,5,7,1,1,7,1969,1214,3,1,1940,0,2009,1,0,0,0,0,1,0,0,0,3154,3978
69.37905085568637,2268,6,5,2,1,7,1951,1350,3,1,1752,0,2006,0,0,1,0,0,1,0,0,0,3102,3957
51.0,10355,10,6,2,0,6,1965,1144,2,1,1342,0,2010,1,0,0,0,0,1,0,0,0,2486,3975
75.0,12803,5,5,1,0,6,1970,1709,2,1,981,0,2007,1,0,0,0,0,1,0,0,0,2690,3977
80.0,7200,7,5,1,1,7,1996,723,3,1,1150,0,2006,1,0,0,0,0,1,0,0,0,1873,4002
63.0,10400,7,5,2,0,6,2004,990,3,1,1908,0,2010,1,0,0,0,0,1,0,0,0,2898,4014
55.0,25095,6,5,2,1,7,1959,736,3,1,1073,0,2006,1,0,0,0,0,1,0,0,0,1809,3965
75.0,10400,5,5,1,0,4,2004,1028,3,1,894,0,2008,1,0,0,0,0,1,0,0,0,1922,4012
82.0,11553,8,6,1,1,7,1986,983,3,1,1573,0,2007,1,0,0,0,0,1,0,0,0,2556,3993
50.0,3072,8,7,2,0,6,1918,672,3,1,1224,0,2007,1,0,0,0,0,1,0,0,0,1896,3925
66.0,10896,8,5,1,0,8,2005,864,3,1,1040,0,2008,1,0,0,0,0,1,0,0,0,1904,4013
65.0,7227,8,6,1,1,5,1880,750,2,1,2704,0,2006,1,0,0,0,0,1,0,0,0,3454,3886
70.0,9320,6,5,2,0,8,1982,1466,2,1,1344,0,2006,1,0,0,0,0,1,0,0,0,2810,3988
30.0,8400,5,5,1,0,4,1970,1650,3,1,1496,0,2007,0,0,0,0,1,1,0,0,0,3146,3977
66.0,6762,6,5,1,0,5,2004,1050,2,1,1960,0,2009,0,0,1,0,0,1,0,0,0,3010,4013
79.0,9600,5,5,1,0,8,2007,483,3,1,1118,0,2009,0,0,0,0,1,1,0,0,0,1601,4016
24.0,6240,6,6,1,0,6,1951,816,3,1,1520,0,2007,1,0,0,0,0,1,0,0,0,2336,3958
69.37905085568637,14963,9,5,1,0,10,1956,2153,1,1,907,0,2006,0,0,0,0,1,1,0,0,0,3060,3962
57.0,1300,5,5,1,0,5,1970,641,3,1,999,0,2008,0,0,1,0,0,1,0,0,0,1640,3978
69.37905085568637,13284,7,5,2,0,4,1958,689,2,1,1120,0,2008,1,0,0,0,0,1,0,0,0,1809,3966
56.0,13695,8,5,1,0,6,2004,721,1,1,1954,0,2007,1,0,0,0,0,1,0,0,0,2675,4011
50.0,9084,4,5,1,0,7,2009,1470,3,1,848,0,2010,1,0,0,0,0,1,0,0,0,2318,4019
110.0,10200,7,5,1,0,6,2004,672,2,1,1680,0,2006,1,0,0,0,0,1,0,0,0,2352,4010
35.0,8658,6,6,2,0,7,1920,672,4,1,2020,0,2010,1,0,0,0,0,1,0,0,0,2692,3930
108.0,8475,6,7,2,1,5,1993,1602,2,1,1044,0,2007,1,0,0,0,0,1,0,0,0,2646,4000
100.0,9600,7,5,2,0,8,1963,920,4,1,1336,0,2008,1,0,0,0,0,1,0,0,0,2256,3971
52.0,15611,4,7,1,1,7,2003,928,3,1,1680,0,2007,1,0,0,0,0,1,0,0,0,2608,4010
61.0,8600,8,5,1,1,9,1990,1235,3,1,1368,0,2009,0,0,0,1,0,1,0,0,0,2603,3999
87.0,10140,7,9,2,1,5,1957,824,4,1,1661,0,2010,0,0,1,0,0,1,0,0,0,2485,3967
95.0,11475,5,6,2,0,6,2000,672,2,1,2520,0,2006,1,0,0,0,0,1,0,0,0,3192,4006
70.0,7861,5,5,2,0,4,1928,780,3,1,1428,0,2007,1,0,0,0,0,1,0,0,0,2208,3935
50.0,10335,8,5,1,0,6,2004,1028,3,1,884,0,2007,1,0,0,0,0,1,0,0,0,1912,4011
76.0,7018,7,5,1,0,7,1880,948,3,1,1978,0,2009,1,0,0,0,0,1,0,0,0,2926,3889
69.37905085568637,6240,7,5,1,0,7,1939,1144,2,1,1108,0,2008,1,0,0,0,0,1,0,0,0,2252,3947
84.0,14154,7,5,2,0,10,1995,1470,0,1,1714,0,2006,0,0,0,1,0,1,0,0,0,3184,4001
75.0,4590,6,5,2,0,8,2005,1060,3,1,1872,0,2010,0,0,1,0,0,1,0,0,0,2932,4015
80.0,7931,4,5,1,1,8,1954,1436,4,1,2287,0,2008,1,0,0,0,0,1,0,0,0,3723,3962
79.0,1680,7,5,1,1,6,2006,880,2,1,1414,0,2006,0,0,1,0,0,1,0,0,0,2294,4012
60.0,8800,5,5,2,0,9,1965,1114,3,1,1029,0,2006,1,0,0,0,0,1,0,0,0,2143,3971
60.0,8755,7,5,1,0,7,1980,780,3,1,1309,0,2007,1,0,0,0,0,1,0,0,0,2089,3987
100.0,10041,6,5,2,0,7,1969,864,4,1,1040,0,2008,1,0,0,0,0,1,0,0,0,1904,3977
72.0,8480,6,5,2,0,5,1953,1128,3,1,1620,0,2008,1,0,0,0,0,1,0,0,0,2748,3961
69.37905085568637,8544,6,5,2,0,7,2004,1051,3,1,1100,0,2010,1,0,0,0,0,1,0,0,0,2151,4014
75.0,11250,4,7,1,0,6,1956,728,3,1,2031,0,2008,1,0,0,0,0,1,0,0,0,2759,3964
78.0,7920,5,7,1,1,5,1934,1017,2,1,1790,0,2009,1,0,0,0,0,1,0,0,0,2807,3943
110.0,7800,5,5,2,0,10,1998,864,2,1,1470,0,2007,0,0,0,0,1,1,0,0,0,2334,4005
69.37905085568637,10800,5,6,1,0,5,2004,1482,2,1,1756,0,2008,1,0,0,0,0,1,0,0,0,3238,4012
69.37905085568637,13005,7,5,2,0,5,1977,684,4,1,2082,0,2010,1,0,0,0,0,1,0,0,0,2766,3987
79.0,10400,6,6,2,0,6,1971,747,2,1,1301,0,2009,1,0,0,0,0,1,0,0,0,2048,3980
69.37905085568637,5062,9,5,1,0,6,1969,702,3,1,1337,0,2009,1,0,0,0,0,1,0,0,0,2039,3978
75.0,9187,5,5,2,0,6,1997,953,3,1,1456,0,2009,1,0,0,0,0,1,0,0,0,2409,4006
80.0,7032,8,5,1,1,6,1982,1768,3,1,1739,0,2009,1,0,0,0,0,1,0,0,0,3507,3991
64.0,16033,6,5,2,0,7,2004,1164,3,1,1577,0,2007,1,0,0,0,0,1,0,0,0,2741,4011
80.0,8320,7,5,1,0,5,2009,0,1,1,1296,0,2009,1,0,0,0,0,1,0,0,0,1296,4018
60.0,10380,6,5,2,1,6,1949,572,3,1,1208,0,2007,1,0,0,0,0,0,1,0,0,1780,3956
96.0,7200,8,5,1,0,6,1959,795,3,1,854,0,2006,1,0,0,0,0,1,0,0,0,1649,3965
49.0,7000,7,5,1,1,10,2007,991,3,1,1839,0,2009,1,0,0,0,0,1,0,0,0,2830,4016
86.0,12886,7,5,1,0,7,2004,1040,2,1,2078,0,2007,1,0,0,0,0,1,0,0,0,3118,4011
58.0,7590,5,5,1,0,5,2007,776,1,1,1494,0,2008,1,0,0,0,0,1,0,0,0,2270,4015
65.0,7136,4,5,2,1,10,1912,980,2,1,943,0,2007,0,0,0,0,1,1,0,0,0,1923,3919
100.0,3604,6,5,2,0,3,2003,1396,3,1,1714,0,2006,1,0,0,0,0,1,0,0,0,3110,4009
69.37905085568637,13474,6,5,2,0,9,1971,1431,3,1,1626,0,2007,0,0,1,0,0,0,0,1,0,3057,3978
69.37905085568637,10150,8,5,2,1,6,1916,1225,3,1,1110,0,2009,1,0,0,0,0,1,0,0,0,2335,3925
60.0,16059,5,5,1,0,7,1900,847,3,1,1691,0,2010,0,0,1,0,0,1,0,0,0,2538,3910
83.0,10652,5,6,2,0,6,1916,1164,2,1,1097,0,2007,0,1,0,0,0,1,0,0,0,2261,3923
74.0,5232,9,5,2,1,9,1940,1117,3,1,902,0,2009,1,0,0,0,0,1,0,0,0,2019,3949
70.0,7861,5,5,1,0,12,2000,1800,3,1,3222,0,2007,1,0,0,0,0,1,0,0,0,5022,4007
50.0,8100,6,7,1,1,10,1971,858,3,1,1541,0,2009,1,0,0,0,0,1,0,0,0,2399,3980
60.0,7200,5,7,2,0,5,1977,1905,4,1,2291,0,2007,0,0,1,0,0,1,0,0,0,4196,3984
44.0,8475,6,5,2,0,7,1920,1414,3,1,2013,0,2010,0,0,0,0,1,1,0,0,0,3427,3930
72.0,18386,7,5,1,1,5,2000,1001,3,1,1728,0,2010,1,0,0,0,0,1,0,0,0,2729,4010
66.0,13478,8,5,1,1,9,1892,1057,3,1,1721,0,2009,1,0,0,0,0,1,0,0,0,2778,3901
52.0,7800,7,8,2,1,6,1972,728,5,0,1392,0,2008,1,0,0,0,0,1,0,0,0,2120,3980
68.0,8125,3,8,1,1,11,1949,832,3,0,1054,0,2007,1,0,0,0,0,1,0,0,0,1886,3956
41.0,9101,4,7,2,0,7,1958,1424,4,1,2087,0,2009,1,0,0,0,0,1,0,0,0,3511,3967
76.0,14559,7,6,2,0,6,2003,1040,3,1,1392,0,2010,1,0,0,0,0,1,0,0,0,2432,4013
62.0,9675,7,5,1,1,6,1954,1649,3,1,1855,0,2009,1,0,0,0,0,1,0,0,0,3504,3963
69.37905085568637,10793,6,5,2,1,6,1954,1650,4,1,2320,0,2006,0,0,0,1,0,1,0,0,0,3970,3960
41.0,7175,7,7,1,0,4,1940,732,2,1,1728,0,2006,0,0,0,0,1,1,0,0,0,2460,3946
60.0,4224,8,6,1,0,4,1984,1541,3,1,4316,0,2008,1,0,0,0,0,1,0,0,0,5857,3992
69.37905085568637,6993,6,6,1,1,9,1999,780,1,1,1950,0,2009,0,0,0,0,1,1,0,0,0,2730,4008
69.37905085568637,13159,6,7,2,0,6,2005,1030,3,1,1056,0,2008,0,0,0,1,0,1,0,0,0,2086,4013
75.0,11333,4,6,3,1,6,1957,483,3,1,1348,0,2007,1,0,0,0,0,1,0,0,0,1831,3964
85.0,10000,7,5,2,0,8,1920,1084,3,1,1752,0,2010,1,0,0,0,0,1,0,0,0,2836,3930
69.37905085568637,16669,9,7,1,0,11,1928,896,3,1,1301,0,2008,1,0,0,0,0,1,0,0,0,2197,3936
86.0,6768,5,5,2,0,5,2002,1098,2,1,2020,0,2009,0,0,0,0,1,1,0,0,0,3118,4011
80.0,7200,6,5,2,1,5,1988,1121,2,1,1072,0,2008,1,0,0,0,0,1,0,0,0,2193,3996
85.0,13284,5,7,1,0,4,1971,894,3,1,1489,0,2006,1,0,0,0,0,1,0,0,0,2383,3977
45.0,7750,5,5,2,0,5,2005,384,2,1,1224,0,2009,1,0,0,0,0,1,0,0,0,1608,4014
60.0,6930,5,4,2,0,6,2004,1266,3,0,2229,0,2009,1,0,0,0,0,1,0,0,0,3495,4013
67.0,10846,7,5,1,0,8,1957,1868,2,1,1442,0,2006,0,0,0,0,1,1,0,0,0,3310,3963
59.0,6960,5,6,2,1,6,1963,861,2,0,1308,0,2009,1,0,0,0,0,1,0,0,0,2169,3972
55.0,17140,6,6,1,0,6,1961,1029,2,1,1252,0,2006,1,0,0,0,0,1,0,0,0,2281,3967
53.0,8405,8,5,2,0,8,1953,813,3,1,965,0,2006,0,1,0,0,0,1,0,0,0,1778,3959
43.0,10593,5,8,2,0,6,1953,1844,3,0,1510,0,2009,1,0,0,0,0,1,0,0,0,3354,3962
70.0,21780,3,6,1,1,6,1997,864,3,1,1086,0,2008,0,1,0,0,0,1,0,0,0,1950,4005
69.37905085568637,6600,7,7,1,1,7,1971,955,4,1,951,0,2010,1,0,0,0,0,1,0,0,0,1906,3981
69.37905085568637,2651,5,4,1,0,7,1995,1563,3,1,1796,0,2008,1,0,0,0,0,1,0,0,0,3359,4003
79.0,10007,7,7,2,0,10,1978,864,3,1,2417,0,2009,1,0,0,0,0,1,0,0,0,3281,3987
64.0,9100,7,5,2,1,5,1952,715,3,1,1839,0,2008,0,0,0,0,1,1,0,0,0,2554,3960
69.37905085568637,10570,7,5,2,0,5,1925,1149,3,0,2730,0,2006,1,0,0,0,0,1,0,0,0,3879,3931
47.0,9571,7,9,1,1,6,1977,1181,3,1,825,0,2007,0,0,0,1,0,1,0,0,0,2006,3984
69.37905085568637,11409,7,5,1,0,5,2003,1484,3,1,1471,0,2007,1,0,0,0,0,1,0,0,0,2955,4010
134.0,11787,7,5,1,0,9,1990,1244,3,1,1204,0,2010,1,0,0,0,0,1,0,0,0,2448,4000
95.0,10005,4,5,2,0,5,2005,1064,2,1,1442,0,2007,1,0,0,0,0,1,0,0,0,2506,4012
65.0,7851,6,6,2,0,8,2002,1164,2,1,1165,0,2007,1,0,0,0,0,1,0,0,0,2329,4009
91.0,8400,5,6,2,1,10,1916,1494,3,1,952,0,2007,1,0,0,0,0,1,0,0,0,2446,3923
70.0,8760,6,5,1,1,4,2000,960,3,1,1034,0,2006,1,0,0,0,0,1,0,0,0,1994,4006
66.0,10800,5,6,2,0,7,1958,816,1,1,1094,0,2006,1,0,0,0,0,1,0,0,0,1910,3964
69.37905085568637,10656,5,5,1,1,8,1970,1389,3,1,1203,0,2008,1,0,0,0,0,1,0,0,0,2592,3978
60.0,9196,5,5,1,0,6,1996,728,3,1,1111,0,2008,1,0,0,0,0,1,0,0,0,1839,4004
79.0,14115,5,5,2,1,6,1920,530,3,1,1960,0,2009,0,0,0,1,0,1,0,0,0,2490,3929
75.0,7990,7,6,2,1,5,1954,689,3,1,1548,0,2006,1,0,0,0,0,1,0,0,0,2237,3960
60.0,8121,7,5,1,0,6,1916,804,1,1,1973,0,2008,1,0,0,0,0,1,0,0,0,2777,3924
72.0,9525,6,5,2,0,5,2004,991,3,1,1220,0,2008,1,0,0,0,0,1,0,0,0,2211,4012
