LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold
69.37905085568637,13284,0,7,5,2,0,4,1958,689,2,0,0,1120,0,2008
56.0,13695,0,8,5,1,0,6,2004,721,1,0,0,1954,0,2007
50.0,9084,0,4,5,1,0,7,2009,1470,3,0,0,848,0,2010
110.0,10200,0,7,5,1,0,6,2004,672,2,0,0,1680,0,2006
35.0,8658,0,6,6,2,0,7,1920,672,4,0,0,2020,0,2010
108.0,8475,0,6,7,2,1,5,1993,1602,2,0,0,1044,0,2007
100.0,9600,0,7,5,2,0,8,1963,920,4,0,0,1336,0,2008
52.0,15611,0,4,7,1,1,7,2003,928,3,0,0,1680,0,2007
61.0,8600,4,8,5,1,1,9,1990,1235,3,0,0,1368,0,2009
87.0,10140,1,7,9,2,1,5,1957,824,4,0,0,1661,0,2010
95.0,11475,0,5,6,2,0,6,2000,672,2,0,0,2520,0,2006
70.0,7861,0,5,5,2,0,4,1928,780,3,0,0,1428,0,2007
50.0,10335,0,8,5,1,0,6,2004,1028,3,0,0,884,0,2007
76.0,7018,0,7,5,1,0,7,1880,948,3,0,0,1978,0,2009
69.37905085568637,6240,0,7,5,1,0,7,1939,1144,2,0,0,1108,0,2008
84.0,14154,4,7,5,2,0,10,1995,1470,0,0,0,1714,0,2006
75.0,4590,1,6,5,2,0,8,2005,1060,3,0,0,1872,0,2010
80.0,7931,0,4,5,1,1,8,1954,1436,4,0,0,2287,0,2008
79.0,1680,1,7,5,1,1,6,2006,880,2,0,0,1414,0,2006
60.0,8800,0,5,5,2,0,9,1965,1114,3,0,0,1029,0,2006
60.0,8755,0,7,5,1,0,7,1980,780,3,0,0,1309,0,2007
100.0,10041,0,6,5,2,0,7,1969,864,4,0,0,1040,0,2008
72.0,8480,0,6,5,2,0,5,1953,1128,3,0,0,1620,0,2008
69.37905085568637,8544,0,6,5,2,0,7,2004,1051,3,0,0,1100,0,2010
75.0,11250,0,4,7,1,0,6,1956,728,3,0,0,2031,0,2008
78.0,7920,0,5,7,1,1,5,1934,1017,2,0,0,1790,0,2009
110.0,7800,3,5,5,2,0,10,1998,864,2,0,0,1470,0,2007
69.37905085568637,10800,0,5,6,1,0,5,2004,1482,2,0,0,1756,0,2008
69.37905085568637,13005,0,7,5,2,0,5,1977,684,4,0,0,2082,0,2010
79.0,10400,0,6,6,2,0,6,1971,747,2,0,0,1301,0,2009
69.37905085568637,5062,0,9,5,1,0,6,1969,702,3,0,0,1337,0,2009
75.0,9187,0,5,5,2,0,6,1997,953,3,0,0,1456,0,2009
80.0,7032,0,8,5,1,1,6,1982,1768,3,0,0,1739,0,2009
64.0,16033,0,6,5,2,0,7,2004,1164,3,0,0,1577,0,2007
80.0,8320,0,7,5,1,0,5,2009,0,1,0,0,1296,0,2009
60.0,10380,0,6,5,2,1,6,1949,572,3,1,0,1208,0,2007
96.0,7200,0,8,5,1,0,6,1959,795,3,0,0,854,0,2006
49.0,7000,0,7,5,1,1,10,2007,991,3,0,0,1839,0,2009
86.0,12886,0,7,5,1,0,7,2004,1040,2,0,0,2078,0,2007
58.0,7590,0,5,5,1,0,5,2007,776,1,0,0,1494,0,2008
65.0,7136,3,4,5,2,1,10,1912,980,2,0,0,943,0,2007
100.0,3604,0,6,5,2,0,3,2003,1396,3,0,0,1714,0,2006
69.37905085568637,13474,1,6,5,2,0,9,1971,1431,3,2,0,1626,0,2007
69.37905085568637,10150,0,8,5,2,1,6,1916,1225,3,0,0,1110,0,2009
60.0,16059,1,5,5,1,0,7,1900,847,3,0,0,1691,0,2010
83.0,10652,2,5,6,2,0,6,1916,1164,2,0,0,1097,0,2007
74.0,5232,0,9,5,2,1,9,1940,1117,3,0,0,902,0,2009
70.0,7861,0,5,5,1,0,12,2000,1800,3,0,0,3222,0,2007
50.0,8100,0,6,7,1,1,10,1971,858,3,0,0,1541,0,2009
60.0,7200,1,5,7,2,0,5,1977,1905,4,0,0,2291,0,2007
44.0,8475,3,6,5,2,0,7,1920,1414,3,0,0,2013,0,2010
72.0,18386,0,7,5,1,1,5,2000,1001,3,0,0,1728,0,2010
66.0,13478,0,8,5,1,1,9,1892,1057,3,0,0,1721,0,2009
52.0,7800,0,7,8,2,1,6,1972,728,5,0,1,1392,0,2008
68.0,8125,0,3,8,1,1,11,1949,832,3,0,1,1054,0,2007
41.0,9101,0,4,7,2,0,7,1958,1424,4,0,0,2087,0,2009
76.0,14559,0,7,6,2,0,6,2003,1040,3,0,0,1392,0,2010
62.0,9675,0,7,5,1,1,6,1954,1649,3,0,0,1855,0,2009
69.37905085568637,10793,4,6,5,2,1,6,1954,1650,4,0,0,2320,0,2006
41.0,7175,3,7,7,1,0,4,1940,732,2,0,0,1728,0,2006
60.0,4224,0,8,6,1,0,4,1984,1541,3,0,0,4316,0,2008
69.37905085568637,6993,3,6,6,1,1,9,1999,780,1,0,0,1950,0,2009
69.37905085568637,13159,4,6,7,2,0,6,2005,1030,3,0,0,1056,0,2008
75.0,11333,0,4,6,3,1,6,1957,483,3,0,0,1348,0,2007
85.0,10000,0,7,5,2,0,8,1920,1084,3,0,0,1752,0,2010
69.37905085568637,16669,0,9,7,1,0,11,1928,896,3,0,0,1301,0,2008
86.0,6768,3,5,5,2,0,5,2002,1098,2,0,0,2020,0,2009
80.0,7200,0,6,5,2,1,5,1988,1121,2,0,0,1072,0,2008
85.0,13284,0,5,7,1,0,4,1971,894,3,0,0,1489,0,2006
45.0,7750,0,5,5,2,0,5,2005,384,2,0,0,1224,0,2009
60.0,6930,0,5,4,2,0,6,2004,1266,3,0,1,2229,0,2009
67.0,10846,3,7,5,1,0,8,1957,1868,2,0,0,1442,0,2006
59.0,6960,0,5,6,2,1,6,1963,861,2,0,1,1308,0,2009
55.0,17140,0,6,6,1,0,6,1961,1029,2,0,0,1252,0,2006
53.0,8405,2,8,5,2,0,8,1953,813,3,0,0,965,0,2006
43.0,10593,0,5,8,2,0,6,1953,1844,3,0,1,1510,0,2009
70.0,21780,2,3,6,1,1,6,1997,864,3,0,0,1086,0,2008
69.37905085568637,6600,0,7,7,1,1,7,1971,955,4,0,0,951,0,2010
69.37905085568637,2651,0,5,4,1,0,7,1995,1563,3,0,0,1796,0,2008
79.0,10007,0,7,7,2,0,10,1978,864,3,0,0,2417,0,2009
64.0,9100,3,7,5,2,1,5,1952,715,3,0,0,1839,0,2008
69.37905085568637,10570,0,7,5,2,0,5,1925,1149,3,0,1,2730,0,2006
47.0,9571,4,7,9,1,1,6,1977,1181,3,0,0,825,0,2007
69.37905085568637,11409,0,7,5,1,0,5,2003,1484,3,0,0,1471,0,2007
134.0,11787,0,7,5,1,0,9,1990,1244,3,0,0,1204,0,2010
95.0,10005,0,4,5,2,0,5,2005,1064,2,0,0,1442,0,2007
65.0,7851,0,6,6,2,0,8,2002,1164,2,0,0,1165,0,2007
91.0,8400,0,5,6,2,1,10,1916,1494,3,0,0,952,0,2007
70.0,8760,0,6,5,1,1,4,2000,960,3,0,0,1034,0,2006
66.0,10800,0,5,6,2,0,7,1958,816,1,0,0,1094,0,2006
69.37905085568637,10656,0,5,5,1,1,8,1970,1389,3,0,0,1203,0,2008
60.0,9196,0,5,5,1,0,6,1996,728,3,0,0,1111,0,2008
79.0,14115,4,5,5,2,1,6,1920,530,3,0,0,1960,0,2009
75.0,7990,0,7,6,2,1,5,1954,689,3,0,0,1548,0,2006
60.0,8121,0,7,5,1,0,6,1916,804,1,0,0,1973,0,2008
72.0,9525,0,6,5,2,0,5,2004,991,3,0,0,1220,0,2008
24.0,7758,0,8,5,1,0,7,2000,483,3,0,0,2270,0,2007
70.0,11600,1,6,5,2,0,6,1972,654,3,0,0,2192,0,2008
69.37905085568637,8246,4,5,6,2,0,7,1882,1056,3,0,0,1547,0,2009
90.0,8123,0,5,5,2,1,6,1940,860,2,0,0,2138,0,2006
91.0,10625,0,8,5,2,0,5,1958,686,4,0,0,1034,0,2007
65.0,10140,0,6,6,3,0,10,1959,720,3,0,0,864,0,2007
75.0,11228,3,5,5,2,0,7,2006,1040,3,0,0,1376,0,2007
137.0,1526,0,7,6,1,1,6,1955,680,4,0,0,1224,0,2009
67.0,9236,0,8,5,2,0,10,1954,768,3,0,0,1855,0,2010
91.0,8004,0,6,5,2,1,6,1986,1572,2,0,1,1756,0,2007
69.37905085568637,8740,0,8,5,2,1,10,2004,1086,2,0,0,1707,0,2010
50.0,7134,0,8,5,2,1,6,1976,1431,3,0,0,792,0,2007
69.37905085568637,8064,0,6,6,2,0,6,2004,1368,6,0,0,1200,0,2007
90.0,10762,0,6,5,1,0,7,1959,896,4,0,0,1790,0,2010
70.0,9200,0,7,7,2,0,8,1965,650,1,0,0,1181,0,2007
60.0,8012,0,6,5,2,1,5,1997,1145,3,0,0,912,0,2008
60.0,12692,0,6,8,2,1,6,1880,864,3,0,0,1269,0,2006
75.0,10800,3,6,5,2,1,4,2000,1258,3,0,0,2097,0,2008
74.0,4251,0,6,5,2,0,6,1925,504,4,0,0,1116,0,2007
83.0,14450,0,7,5,1,0,7,1980,1606,1,0,0,1218,0,2009
24.0,10000,3,6,5,1,0,7,1923,983,1,0,0,912,0,2006
86.0,4750,3,5,5,2,0,7,1970,816,3,0,0,1039,0,2008
92.0,9291,0,7,5,2,1,8,1915,747,2,0,0,1576,0,2007
80.0,5500,0,7,6,2,0,6,1923,864,3,0,0,848,0,2006
74.0,4928,0,8,5,2,0,5,1996,1187,3,0,0,1092,0,2008
60.0,9450,0,5,6,2,0,10,1970,1390,4,0,0,1041,0,2006
24.0,4435,0,9,5,1,0,4,1953,644,4,0,0,1344,0,2009
67.0,1890,0,4,7,2,0,7,1941,660,3,0,0,1200,0,2009
66.0,8760,0,6,7,2,1,9,1946,1187,3,0,0,1336,0,2006
150.0,14559,0,6,5,1,0,6,1932,1032,2,0,0,1258,0,2009
55.0,9297,0,7,3,1,1,7,1959,560,3,1,0,970,0,2007
60.0,11200,0,7,8,2,0,5,1935,636,4,0,0,1978,0,2010
60.0,11851,0,7,5,2,0,9,1999,1314,3,0,0,943,0,2008
50.0,9550,2,10,5,1,1,6,2008,993,4,0,0,1217,0,2007
74.0,8544,0,7,6,2,0,6,1980,1314,6,0,0,1512,0,2008
69.37905085568637,11553,4,5,7,2,0,8,2008,1698,3,0,0,1743,0,2009
71.0,8004,0,4,5,2,0,3,1998,720,3,0,0,1192,0,2007
72.0,14963,0,6,5,2,1,11,1941,1008,1,0,0,2624,0,2006
49.0,7024,2,5,7,2,0,6,1957,1078,3,0,0,1306,0,2006
69.37905085568637,10437,0,6,5,1,0,7,1979,952,3,0,0,768,0,2007
60.0,7200,0,4,7,3,1,8,1945,576,3,0,0,912,0,2008
32.0,70761,0,6,7,2,0,7,2007,1385,3,0,0,1456,0,2008
70.0,5604,0,6,7,1,0,6,2000,616,3,0,0,1180,0,2010
69.37905085568637,8366,0,5,6,1,1,7,1925,1444,4,0,0,971,0,2007
70.0,10637,2,5,4,1,0,10,1892,1040,2,0,0,1456,0,2007
80.0,7588,0,5,7,2,0,7,1940,1273,4,0,1,1644,0,2010
60.0,8600,0,5,8,1,1,6,1930,600,3,0,0,1414,0,2010
69.37905085568637,6762,0,6,7,1,0,6,1983,793,4,0,0,999,0,2009
61.0,6204,0,6,5,1,0,6,1958,894,1,0,1,894,0,2008
62.0,17120,0,5,7,2,0,8,1960,1424,3,0,0,912,0,2009
75.0,7990,0,4,5,1,0,6,1959,1311,3,0,0,1707,0,2007
60.0,11194,0,8,8,1,1,6,1910,1144,1,0,0,1324,0,2009
69.37905085568637,9142,0,7,6,2,0,4,1980,1518,1,0,0,1155,0,2008
82.0,5400,0,7,6,2,0,8,1953,1204,3,0,0,2320,0,2007
47.0,10624,0,6,7,2,0,9,1992,1151,2,0,0,1192,0,2007
91.0,26178,0,5,6,2,0,8,1967,756,3,0,0,1422,0,2010
83.0,8000,0,5,6,2,1,4,2006,1097,5,0,0,1113,0,2006
40.0,11888,0,6,9,1,0,5,1979,1010,3,0,0,2554,0,2009
66.0,7596,0,6,5,1,0,6,1918,1028,3,0,1,1661,0,2006
69.0,8834,0,6,7,2,0,9,2006,1470,4,0,0,1792,0,2007
69.37905085568637,6240,0,6,5,1,1,5,1961,1057,2,0,1,1719,0,2009
69.37905085568637,12640,0,7,5,1,0,5,2003,1434,2,0,0,2614,0,2010
70.0,3675,0,6,8,1,1,6,2007,936,2,0,1,1790,0,2009
75.0,7920,3,5,8,1,0,5,1936,1482,3,1,0,988,0,2007
69.0,6060,3,5,5,1,0,5,1918,1262,2,0,0,1501,0,2007
24.0,16770,0,8,5,1,0,8,1978,600,3,0,0,720,0,2009
71.0,12394,1,6,5,2,0,6,2008,696,2,0,0,1111,0,2007
53.0,14215,0,6,5,2,1,7,1996,864,4,0,0,1056,0,2009
63.0,6000,0,5,6,2,0,7,1958,1073,2,0,0,1144,0,2008
80.0,11606,0,7,8,2,1,5,1929,729,4,0,0,1786,0,2006
92.0,9855,3,9,5,1,0,8,1936,907,3,0,1,2078,0,2008
110.0,9100,0,5,5,1,1,7,2007,1142,2,0,0,1471,0,2006
94.0,7596,0,6,5,1,1,7,1961,970,3,0,0,2462,0,2009
50.0,9360,0,7,5,2,1,8,2007,672,2,0,0,2161,0,2007
69.37905085568637,11475,3,4,8,1,0,6,1958,1566,4,0,0,1224,0,2008
63.0,8176,0,7,8,1,1,6,1955,720,3,0,0,1788,0,2007
69.37905085568637,9430,1,5,5,1,0,12,2003,768,4,0,0,2630,0,2006
105.0,4274,3,5,7,1,0,7,2004,1561,3,0,0,925,0,2007
69.37905085568637,5500,1,7,7,2,1,4,1989,1199,2,0,0,1743,0,2010
69.37905085568637,8800,0,6,5,1,0,3,2006,1276,3,0,0,1302,0,2007
70.0,6380,0,8,6,2,0,4,1950,1248,3,0,0,1053,0,2009
41.0,8520,0,5,5,2,0,5,2006,1190,3,0,0,1126,0,2006
44.0,11049,0,5,5,1,0,8,1992,768,3,0,0,882,0,2007
69.0,9500,0,6,5,2,0,5,1968,528,3,0,0,1440,0,2009
69.37905085568637,2544,0,5,5,1,1,4,1936,1029,3,0,0,1152,0,2006
58.0,1300,0,6,5,1,0,7,1955,1145,3,0,0,1097,0,2008
75.0,8125,0,5,5,1,1,11,1925,824,3,0,0,912,0,2010
60.0,21000,0,8,6,1,1,6,1989,1705,3,0,0,2596,0,2007
105.0,5586,0,7,5,2,0,8,2004,1092,3,0,0,2098,0,2009
116.0,13568,0,7,5,1,1,8,1997,1494,3,0,1,1774,0,2008
56.0,7420,4,5,7,1,0,5,1931,858,3,0,0,1482,0,2007
85.0,3604,0,4,6,1,0,5,2005,936,3,0,0,1582,0,2006
86.0,14585,2,8,6,1,1,6,1961,660,3,0,0,1801,0,2010
75.0,8462,0,6,5,2,0,6,1965,1004,2,0,0,1774,0,2010
60.0,13907,3,7,5,1,0,5,1950,864,2,0,0,1456,0,2008
60.0,6960,0,8,5,2,0,7,1969,1094,3,0,0,1296,0,2006
40.0,4590,0,8,6,2,0,6,1965,686,2,0,0,860,0,2009
92.0,10400,3,5,6,2,0,8,1920,1256,3,0,0,2332,0,2008
69.37905085568637,6420,0,7,9,1,0,9,1918,804,3,0,0,1352,0,2007
80.0,7819,0,8,5,2,0,4,2000,1063,3,0,0,1720,0,2008
64.0,6762,0,7,7,1,0,4,1924,1057,3,0,0,1060,0,2006
21.0,4400,0,6,6,1,1,8,1964,979,3,0,1,720,0,2007
74.0,9600,0,5,5,2,1,5,1920,697,3,0,0,1886,0,2006
60.0,10667,0,5,5,1,0,5,1967,1362,3,0,0,1574,0,2007
71.0,7844,0,6,5,2,0,7,1999,991,3,0,0,1056,0,2008
81.0,6000,0,5,6,1,0,4,1912,1623,1,0,0,1026,0,2006
69.37905085568637,8529,0,6,5,2,0,6,1978,1003,3,0,0,789,512,2008
30.0,7420,0,8,5,1,0,9,1961,1269,3,0,0,1536,0,2007
47.0,13710,3,5,6,1,1,6,1997,720,2,0,0,1775,0,2008
69.0,7795,0,9,5,1,1,5,1995,998,3,0,0,1456,0,2007
80.0,9591,0,5,5,1,0,7,2006,832,4,0,0,2295,0,2006
60.0,10970,0,5,5,2,0,7,2005,918,2,0,0,1839,0,2008
98.0,10200,0,5,6,2,0,5,1958,1161,2,0,0,1041,0,2010
50.0,12003,0,5,7,2,1,6,2005,1002,2,0,0,1048,0,2009
69.37905085568637,10634,0,7,5,2,0,9,1991,1752,2,0,0,1344,0,2009
64.0,13286,4,7,6,2,1,5,1930,2109,2,0,0,2554,0,2006
82.0,9100,0,6,6,0,0,8,1976,1428,2,0,0,1487,0,2006
69.37905085568637,11846,0,7,8,2,1,9,2000,1742,3,0,0,1494,0,2007
21.0,11316,0,6,4,1,1,6,1970,848,3,0,0,2256,0,2008
43.0,4388,3,8,8,1,0,9,1908,1860,3,0,0,845,0,2009
67.0,16321,0,7,7,1,0,5,2007,1040,3,0,0,1494,0,2009
65.0,9206,3,5,7,1,1,6,1978,1053,4,0,0,1464,0,2009
